year,state,votes,candidate,party,short_state
2016,Alabama,729547,"Clinton, Hillary",Democratic,AL
2016,Alaska,116454,"Clinton, Hillary",Democratic,AK
2016,Arizona,1161167,"Clinton, Hillary",Democratic,AZ
2016,Arkansas,380494,"Clinton, Hillary",Democratic,AR
2016,California,8753788,"Clinton, Hillary",Democratic,CA
2016,Colorado,1338870,"Clinton, Hillary",Democratic,CO
2016,Connecticut,897572,"Clinton, Hillary",Democratic,CT
2016,Delaware,235603,"Clinton, Hillary",Democratic,DE
2016,Florida,4504975,"Clinton, Hillary",Democratic,FL
2016,Georgia,1877963,"Clinton, Hillary",Democratic,GA
2016,Hawaii,266891,"Clinton, Hillary",Democratic,HI
2016,Idaho,189765,"Clinton, Hillary",Democratic,ID
2016,Illinois,3090729,"Clinton, Hillary",Democratic,IL
2016,Indiana,1033126,"Clinton, Hillary",Democratic,IN
2016,Iowa,653669,"Clinton, Hillary",Democratic,IA
2016,Kansas,427005,"Clinton, Hillary",Democratic,KS
2016,Kentucky,628854,"Clinton, Hillary",Democratic,KY
2016,Louisiana,780154,"Clinton, Hillary",Democratic,LA
2016,Maine,357735,"Clinton, Hillary",Democratic,ME
2016,Maryland,1677928,"Clinton, Hillary",Democratic,MD
2016,Massachusetts,1995196,"Clinton, Hillary",Democratic,MA
2016,Michigan,2268839,"Clinton, Hillary",Democratic,MI
2016,Minnesota,1367825,"Clinton, Hillary",Democratic,MN
2016,Mississippi,485131,"Clinton, Hillary",Democratic,MS
2016,Missouri,1071068,"Clinton, Hillary",Democratic,MO
2016,Montana,177709,"Clinton, Hillary",Democratic,MT
2016,Nebraska,284494,"Clinton, Hillary",Democratic,NE
2016,Nevada,539260,"Clinton, Hillary",Democratic,NV
2016,New Hampshire,348526,"Clinton, Hillary",Democratic,NH
2016,New Jersey,2148278,"Clinton, Hillary",Democratic,NJ
2016,New Mexico,385234,"Clinton, Hillary",Democratic,NM
2016,New York,4556124,"Clinton, Hillary",Democratic,NY
2016,North Carolina,2189316,"Clinton, Hillary",Democratic,NC
2016,North Dakota,93758,"Clinton, Hillary",Democratic,ND
2016,Ohio,2394164,"Clinton, Hillary",Democratic,OH
2016,Oklahoma,420375,"Clinton, Hillary",Democratic,OK
2016,Oregon,1002106,"Clinton, Hillary",Democratic,OR
2016,Pennsylvania,2926441,"Clinton, Hillary",Democratic,PA
2016,Rhode Island,252525,"Clinton, Hillary",Democratic,RI
2016,South Carolina,855373,"Clinton, Hillary",Democratic,SC
2016,South Dakota,117458,"Clinton, Hillary",Democratic,SD
2016,Tennessee,870695,"Clinton, Hillary",Democratic,TN
2016,Texas,3877868,"Clinton, Hillary",Democratic,TX
2016,Utah,310676,"Clinton, Hillary",Democratic,UT
2016,Vermont,178573,"Clinton, Hillary",Democratic,VT
2016,Virginia,1981473,"Clinton, Hillary",Democratic,VA
2016,Washington,1742718,"Clinton, Hillary",Democratic,WA
2016,West Virginia,188794,"Clinton, Hillary",Democratic,WV
2016,Wisconsin,1382536,"Clinton, Hillary",Democratic,WI
2016,Wyoming,55973,"Clinton, Hillary",Democratic,WY
2016,Washington DC,282830,"Clinton, Hillary",Democratic,DC
2016,Alabama,1318255,"Trump, Donald",Republican,AL
2016,Alaska,163387,"Trump, Donald",Republican,AK
2016,Arizona,1252401,"Trump, Donald",Republican,AZ
2016,Arkansas,684872,"Trump, Donald",Republican,AR
2016,California,4483810,"Trump, Donald",Republican,CA
2016,Colorado,1202484,"Trump, Donald",Republican,CO
2016,Connecticut,673215,"Trump, Donald",Republican,CT
2016,Delaware,185127,"Trump, Donald",Republican,DE
2016,Florida,4617886,"Trump, Donald",Republican,FL
2016,Georgia,2089104,"Trump, Donald",Republican,GA
2016,Hawaii,128847,"Trump, Donald",Republican,HI
2016,Idaho,409055,"Trump, Donald",Republican,ID
2016,Illinois,2146015,"Trump, Donald",Republican,IL
2016,Indiana,1557286,"Trump, Donald",Republican,IN
2016,Iowa,800983,"Trump, Donald",Republican,IA
2016,Kansas,671018,"Trump, Donald",Republican,KS
2016,Kentucky,1202971,"Trump, Donald",Republican,KY
2016,Louisiana,1178638,"Trump, Donald",Republican,LA
2016,Maine,335593,"Trump, Donald",Republican,ME
2016,Maryland,943169,"Trump, Donald",Republican,MD
2016,Massachusetts,1090893,"Trump, Donald",Republican,MA
2016,Michigan,2279543,"Trump, Donald",Republican,MI
2016,Minnesota,1323232,"Trump, Donald",Republican,MN
2016,Mississippi,700714,"Trump, Donald",Republican,MS
2016,Missouri,1594511,"Trump, Donald",Republican,MO
2016,Montana,279240,"Trump, Donald",Republican,MT
2016,Nebraska,495961,"Trump, Donald",Republican,NE
2016,Nevada,512058,"Trump, Donald",Republican,NV
2016,New Hampshire,345790,"Trump, Donald",Republican,NH
2016,New Jersey,1601933,"Trump, Donald",Republican,NJ
2016,New Mexico,319667,"Trump, Donald",Republican,NM
2016,New York,2819534,"Trump, Donald",Republican,NY
2016,North Carolina,2362631,"Trump, Donald",Republican,NC
2016,North Dakota,216794,"Trump, Donald",Republican,ND
2016,Ohio,2841005,"Trump, Donald",Republican,OH
2016,Oklahoma,949136,"Trump, Donald",Republican,OK
2016,Oregon,782403,"Trump, Donald",Republican,OR
2016,Pennsylvania,2970733,"Trump, Donald",Republican,PA
2016,Rhode Island,180543,"Trump, Donald",Republican,RI
2016,South Carolina,1155389,"Trump, Donald",Republican,SC
2016,South Dakota,227721,"Trump, Donald",Republican,SD
2016,Tennessee,1522925,"Trump, Donald",Republican,TN
2016,Texas,4685047,"Trump, Donald",Republican,TX
2016,Utah,515231,"Trump, Donald",Republican,UT
2016,Vermont,95369,"Trump, Donald",Republican,VT
2016,Virginia,1769443,"Trump, Donald",Republican,VA
2016,Washington,1221747,"Trump, Donald",Republican,WA
2016,West Virginia,489371,"Trump, Donald",Republican,WV
2016,Wisconsin,1405284,"Trump, Donald",Republican,WI
2016,Wyoming,174419,"Trump, Donald",Republican,WY
2016,Washington DC,12723,"Trump, Donald",Republican,DC
2016,Alabama,44467,"Johnson, Gary",Libertarian,AL
2016,Alaska,18725,"Johnson, Gary",Libertarian,AK
2016,Arizona,106327,"Johnson, Gary",Libertarian,AZ
2016,Arkansas,29829,"Johnson, Gary",Libertarian,AR
2016,California,478500,"Johnson, Gary",Libertarian,CA
2016,Colorado,144121,"Johnson, Gary",Libertarian,CO
2016,Connecticut,48676,"Johnson, Gary",Libertarian,CT
2016,Delaware,14757,"Johnson, Gary",Libertarian,DE
2016,Florida,207043,"Johnson, Gary",Libertarian,FL
2016,Georgia,125306,"Johnson, Gary",Libertarian,GA
2016,Hawaii,15954,"Johnson, Gary",Libertarian,HI
2016,Idaho,28331,"Johnson, Gary",Libertarian,ID
2016,Illinois,209596,"Johnson, Gary",Libertarian,IL
2016,Indiana,133993,"Johnson, Gary",Libertarian,IN
2016,Iowa,59186,"Johnson, Gary",Libertarian,IA
2016,Kansas,55406,"Johnson, Gary",Libertarian,KS
2016,Kentucky,53752,"Johnson, Gary",Libertarian,KY
2016,Louisiana,37978,"Johnson, Gary",Libertarian,LA
2016,Maine,38105,"Johnson, Gary",Libertarian,ME
2016,Maryland,79605,"Johnson, Gary",Libertarian,MD
2016,Massachusetts,138018,"Johnson, Gary",Libertarian,MA
2016,Michigan,172136,"Johnson, Gary",Libertarian,MI
2016,Minnesota,112984,"Johnson, Gary",Libertarian,MN
2016,Mississippi,14435,"Johnson, Gary",Libertarian,MS
2016,Missouri,97359,"Johnson, Gary",Libertarian,MO
2016,Montana,28037,"Johnson, Gary",Libertarian,MT
2016,Nebraska,38946,"Johnson, Gary",Libertarian,NE
2016,Nevada,37384,"Johnson, Gary",Libertarian,NV
2016,New Hampshire,30777,"Johnson, Gary",Libertarian,NH
2016,New Jersey,72477,"Johnson, Gary",Libertarian,NJ
2016,New Mexico,74541,"Johnson, Gary",Libertarian,NM
2016,New York,176598,"Johnson, Gary",Libertarian,NY
2016,North Carolina,130126,"Johnson, Gary",Libertarian,NC
2016,North Dakota,21434,"Johnson, Gary",Libertarian,ND
2016,Ohio,174498,"Johnson, Gary",Libertarian,OH
2016,Oklahoma,83481,"Johnson, Gary",Libertarian,OK
2016,Oregon,94231,"Johnson, Gary",Libertarian,OR
2016,Pennsylvania,146715,"Johnson, Gary",Libertarian,PA
2016,Rhode Island,14746,"Johnson, Gary",Libertarian,RI
2016,South Carolina,49204,"Johnson, Gary",Libertarian,SC
2016,South Dakota,20850,"Johnson, Gary",Libertarian,SD
2016,Tennessee,70397,"Johnson, Gary",Libertarian,TN
2016,Texas,283492,"Johnson, Gary",Libertarian,TX
2016,Utah,39608,"Johnson, Gary",Libertarian,UT
2016,Vermont,10078,"Johnson, Gary",Libertarian,VT
2016,Virginia,118274,"Johnson, Gary",Libertarian,VA
2016,Washington,160879,"Johnson, Gary",Libertarian,WA
2016,West Virginia,23004,"Johnson, Gary",Libertarian,WV
2016,Wisconsin,106674,"Johnson, Gary",Libertarian,WI
2016,Wyoming,13287,"Johnson, Gary",Libertarian,WY
2016,Washington DC,4906,"Johnson, Gary",Libertarian,DC
2012,Alabama,795696,"Obama, Barack",Democratic,AL
2012,Alaska,122640,"Obama, Barack",Democratic,AK
2012,Arizona,1025232,"Obama, Barack",Democratic,AZ
2012,Arkansas,394409,"Obama, Barack",Democratic,AR
2012,California,7854285,"Obama, Barack",Democratic,CA
2012,Colorado,1323102,"Obama, Barack",Democratic,CO
2012,Connecticut,905109,"Obama, Barack",Democratic,CT
2012,Delaware,242584,"Obama, Barack",Democratic,DE
2012,Florida,4237756,"Obama, Barack",Democratic,FL
2012,Georgia,1773827,"Obama, Barack",Democratic,GA
2012,Hawaii,306658,"Obama, Barack",Democratic,HI
2012,Idaho,212787,"Obama, Barack",Democratic,ID
2012,Illinois,3019512,"Obama, Barack",Democratic,IL
2012,Indiana,1154275,"Obama, Barack",Democratic,IN
2012,Iowa,822544,"Obama, Barack",Democratic,IA
2012,Kansas,439908,"Obama, Barack",Democratic,KS
2012,Kentucky,679370,"Obama, Barack",Democratic,KY
2012,Louisiana,809141,"Obama, Barack",Democratic,LA
2012,Maine,401306,"Obama, Barack",Democratic,ME
2012,Maryland,1677844,"Obama, Barack",Democratic,MD
2012,Massachusetts,1921761,"Obama, Barack",Democratic,MA
2012,Michigan,2564569,"Obama, Barack",Democratic,MI
2012,Minnesota,1546167,"Obama, Barack",Democratic,MN
2012,Mississippi,562949,"Obama, Barack",Democratic,MS
2012,Missouri,1223796,"Obama, Barack",Democratic,MO
2012,Montana,201839,"Obama, Barack",Democratic,MT
2012,Nebraska,302081,"Obama, Barack",Democratic,NE
2012,Nevada,531373,"Obama, Barack",Democratic,NV
2012,New Hampshire,369561,"Obama, Barack",Democratic,NH
2012,New Jersey,2126610,"Obama, Barack",Democratic,NJ
2012,New Mexico,415335,"Obama, Barack",Democratic,NM
2012,New York,4485877,"Obama, Barack",Democratic,NY
2012,North Carolina,2178391,"Obama, Barack",Democratic,NC
2012,North Dakota,124827,"Obama, Barack",Democratic,ND
2012,Ohio,2827709,"Obama, Barack",Democratic,OH
2012,Oklahoma,443547,"Obama, Barack",Democratic,OK
2012,Oregon,970488,"Obama, Barack",Democratic,OR
2012,Pennsylvania,2990274,"Obama, Barack",Democratic,PA
2012,Rhode Island,279677,"Obama, Barack",Democratic,RI
2012,South Carolina,865941,"Obama, Barack",Democratic,SC
2012,South Dakota,145039,"Obama, Barack",Democratic,SD
2012,Tennessee,960709,"Obama, Barack",Democratic,TN
2012,Texas,3308124,"Obama, Barack",Democratic,TX
2012,Utah,251813,"Obama, Barack",Democratic,UT
2012,Vermont,199239,"Obama, Barack",Democratic,VT
2012,Virginia,1971820,"Obama, Barack",Democratic,VA
2012,Washington,1755396,"Obama, Barack",Democratic,WA
2012,West Virginia,238269,"Obama, Barack",Democratic,WV
2012,Wisconsin,1620985,"Obama, Barack",Democratic,WI
2012,Wyoming,69286,"Obama, Barack",Democratic,WY
2012,Washington DC,267070,"Obama, Barack",Democratic,DC
2012,Alabama,1255925,"Romney, Mitt",Republican,AL
2012,Alaska,164676,"Romney, Mitt",Republican,AK
2012,Arizona,1233654,"Romney, Mitt",Republican,AZ
2012,Arkansas,647744,"Romney, Mitt",Republican,AR
2012,California,4839958,"Romney, Mitt",Republican,CA
2012,Colorado,1185243,"Romney, Mitt",Republican,CO
2012,Connecticut,634899,"Romney, Mitt",Republican,CT
2012,Delaware,165484,"Romney, Mitt",Republican,DE
2012,Florida,4163447,"Romney, Mitt",Republican,FL
2012,Georgia,2078688,"Romney, Mitt",Republican,GA
2012,Hawaii,121015,"Romney, Mitt",Republican,HI
2012,Idaho,420911,"Romney, Mitt",Republican,ID
2012,Illinois,2135216,"Romney, Mitt",Republican,IL
2012,Indiana,1422872,"Romney, Mitt",Republican,IN
2012,Iowa,730617,"Romney, Mitt",Republican,IA
2012,Kansas,689809,"Romney, Mitt",Republican,KS
2012,Kentucky,1087190,"Romney, Mitt",Republican,KY
2012,Louisiana,1152262,"Romney, Mitt",Republican,LA
2012,Maine,292276,"Romney, Mitt",Republican,ME
2012,Maryland,971869,"Romney, Mitt",Republican,MD
2012,Massachusetts,1188460,"Romney, Mitt",Republican,MA
2012,Michigan,2115256,"Romney, Mitt",Republican,MI
2012,Minnesota,1320225,"Romney, Mitt",Republican,MN
2012,Mississippi,710746,"Romney, Mitt",Republican,MS
2012,Missouri,1482440,"Romney, Mitt",Republican,MO
2012,Montana,267928,"Romney, Mitt",Republican,MT
2012,Nebraska,475064,"Romney, Mitt",Republican,NE
2012,Nevada,463567,"Romney, Mitt",Republican,NV
2012,New Hampshire,329918,"Romney, Mitt",Republican,NH
2012,New Jersey,1478749,"Romney, Mitt",Republican,NJ
2012,New Mexico,335788,"Romney, Mitt",Republican,NM
2012,New York,2490496,"Romney, Mitt",Republican,NY
2012,North Carolina,2270395,"Romney, Mitt",Republican,NC
2012,North Dakota,188163,"Romney, Mitt",Republican,ND
2012,Ohio,2661437,"Romney, Mitt",Republican,OH
2012,Oklahoma,891325,"Romney, Mitt",Republican,OK
2012,Oregon,754175,"Romney, Mitt",Republican,OR
2012,Pennsylvania,2680434,"Romney, Mitt",Republican,PA
2012,Rhode Island,157204,"Romney, Mitt",Republican,RI
2012,South Carolina,1071645,"Romney, Mitt",Republican,SC
2012,South Dakota,210610,"Romney, Mitt",Republican,SD
2012,Tennessee,1462330,"Romney, Mitt",Republican,TN
2012,Texas,4569843,"Romney, Mitt",Republican,TX
2012,Utah,740600,"Romney, Mitt",Republican,UT
2012,Vermont,92698,"Romney, Mitt",Republican,VT
2012,Virginia,1822522,"Romney, Mitt",Republican,VA
2012,Washington,1290670,"Romney, Mitt",Republican,WA
2012,West Virginia,417655,"Romney, Mitt",Republican,WV
2012,Wisconsin,1407966,"Romney, Mitt",Republican,WI
2012,Wyoming,170962,"Romney, Mitt",Republican,WY
2012,Washington DC,21381,"Romney, Mitt",Republican,DC
2008,Alabama,813479,"Obama, Barack",Democratic,AL
2008,Alaska,123594,"Obama, Barack",Democratic,AK
2008,Arizona,1034707,"Obama, Barack",Democratic,AZ
2008,Arkansas,422310,"Obama, Barack",Democratic,AR
2008,California,8274473,"Obama, Barack",Democratic,CA
2008,Colorado,1288633,"Obama, Barack",Democratic,CO
2008,Connecticut,997773,"Obama, Barack",Democratic,CT
2008,Delaware,255459,"Obama, Barack",Democratic,DE
2008,Florida,4282367,"Obama, Barack",Democratic,FL
2008,Georgia,1844123,"Obama, Barack",Democratic,GA
2008,Hawaii,325871,"Obama, Barack",Democratic,HI
